		                应变	
	         xx	                       yy	                       xy
1	4.559075556	0	                0.912971927
2	4.136877055	0.08547301	0.663558638
3	4.961561423	0.08547301	1.2343365
4	4.157571378	0.180141523	0.709060574
5	5.187005581	0.180141523	1.440854457
6	4.203901318	0.243960874	0.74780744
7	5.288351777	0.243960874	1.564132851
8	4.231892367	0.282846751	0.771970824
9	5.301202575	0.282846751	1.63307282
10	4.227003705	0.305161592	0.780687112
11	5.248302712	0.305161592	1.666342467
12	4.186813772	0.316647583	0.775866948
13	5.142884114	0.316647583	1.675381663
14	4.111768121	0.321017106	0.760063042
15	4.990492243	0.321017106	1.666780572
16	4.001131055	0.320647299	0.735518871
17	4.790011316	0.320647299	1.643544954
18	3.851286975	0.316950676	0.703896457
19	4.533860269	0.316950676	1.605834055
20	3.654648099	0.31065897	0.666533122
21	4.206550864	0.31065897	1.551267215
22	3.398013103	0.30220082	0.62537384
23	3.780287823	0.30220082	1.474203317
24	3.059555302	0.292308308	0.585138491
25	3.207317784	0.292308308	1.362208946
26	2.605035257	0.282861571	0.557394314
27	2.418390699	0.282861571	1.185708961
28	1.991023806	0.276639115	0.563014905
29	1.382316491	0.276639115	0.876467126
30	1.208916271	0.266467817	0.597437509
31	0.433210077	0.266467817	0.322725617
32	0.436754299	0.242691109	0.325682856
33	4.013735826	0	                0.954372916
34	3.186885269	-0.027578266	0.4144158
35	4.021255682	-0.027578266	1.04335866
36	3.07722801	0.04330681	0.440588782
37	4.030121125	0.04330681	1.166965849
38	3.000976132	0.121107784	0.478998622
39	4.019177078	0.121107784	1.275867397
40	2.943606967	0.183721896	0.51515819
41	3.980545665	0.183721896	1.357302241
42	2.89123833	0.228800642	0.542145258
43	3.912383305	0.228800642	1.412744847
44	2.833707593	0.259318342	0.559341058
45	3.8138846	                0.259318342	1.447687964
46	2.763449265	0.279356447	0.569059652
47	3.682866007	0.279356447	1.467498024
48	2.674041762	0.292649878	0.574504139
49	3.514650567	0.292649878	1.476009002
50	2.559097786	0.302020059	0.579154162
51	3.301175589	0.302020059	1.475415168
52	2.411292508	0.309303694	0.587352996
53	3.029595561	0.309303694	1.466694202
54	2.221341375	0.315768247	0.606071533
55	2.680236306	0.315768247	1.449587409
56	1.977061483	0.32346205	0.64764206
57	2.225972198	0.32346205	1.419383487
58	1.663612387	0.339336228	0.730472777
59	1.642809126	0.339336228	1.352076678
60	1.268312202	0.388302446	0.861928613
61	0.957777975	0.388302446	1.158142237
62	0.793131175	0.555780833	0.947441329
63	0.293147857	0.555780833	0.619681964
64	0.295541779	0.787183372	0.659668886
65	2.988441136	0	                0.941014693
66	1.927338705	-0.069235145	0.259901805
67	2.88764675	-0.069235145	0.956689616
68	1.796009873	-0.032568688	0.27236485
69	2.804915116	-0.032568688	1.016235168
70	1.686675606	0.036674397	0.296708318
71	2.733768525	0.036674397	1.088513072
72	1.601593068	0.105035651	0.325480079
73	2.66551934	0.105035651	1.155665532
74	1.535851413	0.160483462	0.353149043
75	2.592477142	0.160483462	1.21188803
76	1.48123989	0.201336513	0.378635983
77	2.50799875	0.201336513	1.257575393
78	1.429121184	0.230255419	0.403510498
79	2.405979769	0.230255419	1.295185601
80	1.371893829	0.250916211	0.430510061
81	2.280335325	0.250916211	1.32731171
82	1.303390516	0.266261772	0.463232263
83	2.124472161	0.266261772	1.356242434
84	1.218830255	0.277795466	0.506937218
85	1.930857673	0.277795466	1.384254685
86	1.114941904	0.285991721	0.57038798
87	1.691185557	0.285991721	1.413490707
88	0.990701031	0.293576877	0.668084983
89	1.398379589	0.293576877	1.442050177
90	0.84814594	0.318232101	0.818605051
91	1.051645364	0.318232101	1.446275943
92	0.688366547	0.431567297	1.022184765
93	0.654324137	0.431567297	1.329238449
94	0.49157362	0.813647403	1.183877779
95	0.239546353	0.813647403	0.806509019
96	0.225006434	1.564669369	0.914441946
97	1.723280545	0	                0.90747892
98	0.491765495	-0.083242212	0.142574416
99	1.60168268	-0.083242212	0.898170735
100	0.376570286	-0.07028248	0.149520307
101	1.494980386	-0.07028248	0.918489028
102	0.276787922	-0.014499353	0.160636135
103	1.407411241	-0.014499353	0.956200596
104	0.201388055	0.049307608	0.176112749
105	1.336181706	0.049307608	1.000777718
106	0.150609144	0.104604915	0.195904058
107	1.274723051	0.104604915	1.047047025
108	0.11878312	0.146846904	0.220884123
109	1.215598573	0.146846904	1.093299141
110	0.098742344	0.177350668	0.252370108
111	1.15216149	0.177350668	1.139400854
112	0.084475537	0.199090442	0.292045772
113	1.079206107	0.199090442	1.185870133
114	0.072221808	0.214268715	0.342389404
115	0.993276448	0.214268715	1.23367243
116	0.061087414	0.223181253	0.407566607
117	0.893355817	0.223181253	1.284370526
118	0.054126502	0.224768676	0.4949293
119	0.782452253	0.224768676	1.339856712
120	0.060234941	0.22222759	0.617004128
121	0.669078056	0.22222759	1.399122635
122	0.094755144	0.245004644	0.791849902
123	0.561017011	0.245004644	1.444278488
124	0.168904661	0.410711206	1.0323984
125	0.436451493	0.410711206	1.391747977
126	0.247054888	1.030502239	1.284539516
127	0.236120101	1.030502239	0.920610019
128	0.193568302	2.510760704	1.141422749
129	0.309318821	0	                0.867158474
130	-1.067044616	-0.085351937	0.043323609
131	0.202268131	-0.085351937	0.847670771
132	-1.147594893	-0.083221369	0.048650775
133	0.107554679	-0.083221369	0.841864232
134	-1.212965909	-0.03866503	0.04733719
135	0.034307961	-0.03866503	0.849931413
136	-1.252608199	0.015264821	0.047371419
137	-0.016750896	0.015264821	0.870927975
138	-1.266704917	0.06259467	0.055373988
139	-0.050422147	0.06259467	0.902970954
140	-1.259976426	0.098851474	0.074571679
141	-0.072840177	0.098851474	0.943606391
142	-1.236979527	0.124919634	0.105920521
143	-0.088982474	0.124919634	0.990513493
144	-1.200353751	0.143003661	0.149688246
145	-0.101543131	0.143003661	1.041903226
146	-1.150191707	0.154266283	0.206503934
147	-0.110100928	0.154266283	1.096627162
148	-1.083379264	0.157599418	0.278013877
149	-0.10962686	0.157599418	1.154140824
150	-0.992070853	0.150153417	0.367651976
151	-0.087974084	0.150153417	1.214344861
152	-0.860897725	0.133975318	0.482590009
153	-0.02474227	0.133975318	1.276778893
154	-0.664691521	0.143398477	0.639185431
155	0.09736246	0.143398477	1.335274251
156	-0.377148601	0.33050803	0.872982921
157	0.243773091	0.33050803	1.341416342
158	-0.025769978	1.167927647	1.216552662
159	0.253114877	1.167927647	0.987163514
160	0.158876573	3.591041054	1.363372819
161	-1.214512127	0	                 0.825816129
162	-2.73247019	-0.0796295	-0.047760092
163	-1.28801704	-0.0796295	0.797400524
164	-2.762202766	-0.075979725	-0.043394542
165	-1.347807346	-0.075979725	0.768240645
166	-2.769525714	-0.039792946	-0.058992831
167	-1.383910867	-0.039792946	0.750233149
168	-2.75136881	0.000475379	-0.074920424
169	-1.396468229	0.000475379	0.750356828
170	-2.713445269	0.034346896	-0.079277416
171	-1.389470443	0.034346896	0.768230088
172	-2.658652584	0.059710922	-0.068379829
173	-1.366572051	0.059710922	0.800137309
174	-2.586880989	0.077668091	-0.0423199
175	-1.32954287	0.077668091	0.841759482
176	-2.495782169	0.089734516	-0.00226672
177	-1.277645481	0.089734516	0.889282318
178	-2.381172954	0.096171419	0.05061159
179	-1.206861782	0.096171419	0.939466743
180	-2.23680375	0.094897839	0.115115175
181	-1.108136074	0.094897839	0.989256596
182	-2.05316598	0.081535472	0.189474986
183	-0.964145988	0.081535472	1.035705529
184	-1.814675611	0.054626436	0.272111031
185	-0.746175332	0.054626436	1.077926943
186	-1.494565482	0.04191694	0.370183783
187	-0.421465774	0.04191694	1.122868882
188	-1.051353285	0.202437169	0.533111428
189	-0.009742471	0.202437169	1.176329992
190	-0.464381067	1.167342359	0.917531811
191	0.244084498	1.167342359	1.02254143
192	0.020837527	4.785566938	1.558888662
193	-2.837156953	0	                0.78724559
194	-4.522641653	-0.06087155	-0.140213123
195	-2.859822863	-0.06087155	0.737094101
196	-4.463719646	-0.046828526	-0.141451224
197	-2.861844711	-0.046828526	0.679779008
198	-4.373378349	-0.022020008	-0.173100773
199	-2.840910191	-0.022020008	0.642113607
200	-4.278743679	0.000638063	-0.200376993
201	-2.801838629	0.000638063	0.628922867
202	-4.182542491	0.018324824	-0.213555802
203	-2.746603133	0.018324824	0.636517879
204	-4.079002845	0.031233248	-0.211175583
205	-2.674353382	0.031233248	0.658910332
206	-3.959618345	0.04038799	-0.194499948
207	-2.582170902	0.04038799	0.69038523
208	-3.815419809	0.04656917	-0.165305691
209	-2.465420507	0.04656917	0.726142084
210	-3.637707475	0.049516849	-0.125416991
211	-2.317473958	0.049516849	0.76189499
212	-3.418260648	0.047099318	-0.077592884
213	-2.128476192	0.047099318	0.79303281
214	-3.149596385	0.034614016	-0.027765001
215	-1.882377095	0.034614016	0.814348291
216	-2.825111824	0.006551826	0.012135451
217	-1.551077631	0.006551826	0.823386137
218	-2.436348802	-0.026479816	0.02718828
219	-1.08823791	-0.026479816	0.835342082
220	-1.957281858	0.05688179	0.039561292
221	-0.459643707	0.05688179	0.914334821
222	-1.30605367	0.960564998	0.293845659
223	0.099483709	0.960564998	1.04925052
224	-0.503189594	6.075155414	1.605131126
225	-4.578824477	0	                0.757760933
226	-6.544176725	0.001530922	-0.25587288
227	-4.511810795	0.001530922	0.627251549
228	-6.21578501	0.000443573	-0.282044394
229	-4.418653702	0.000443573	0.550953883
230	-5.981027343	0.003215025	-0.309789553
231	-4.323397171	0.003215025	0.514038616
232	-5.80680092	0.007231737	-0.331863358
233	-4.227321273	0.007231737	0.503078031
234	-5.662379071	0.011217214	-0.345645217
235	-4.123927326	0.011217214	0.507928866
236	-5.52181657	0.014779756	-0.350863387
237	-4.004330562	0.014779756	0.521295653
238	-5.36436271	0.01788081	-0.347913573
239	-3.859350257	0.01788081	0.538029744
240	-5.173583334	0.020493934	-0.337145719
241	-3.680163983	0.020493934	0.554340628
242	-4.936330388	0.022260518	-0.318879396
243	-3.45851964	0.022260518	0.566939089
244	-4.642689506	0.021938643	-0.294386003
245	-3.187085483	0.021938643	0.572258625
246	-4.288579035	0.016393159	-0.268794169
247	-2.859766466	0.016393159	0.566455949
248	-3.883760817	-0.000755752	-0.258098567
249	-2.468985458	-0.000755752	0.548972836
250	-3.468329173	-0.036265434	-0.303121702
251	-1.988441709	-0.036265434	0.539574327
252	-3.130184921	-0.048970804	-0.478881913
253	-1.326683965	-0.048970804	0.639704374
254	-2.933548579	0.491629711	-0.72904178
255	-0.469476661	0.491629711	1.15296679
256	-2.239703055	7.440074236	1.119851527
