	节点坐标
	x	y
1	0	0
2	0.25	0.0625
3	0.5	0.125
4	0.75	0.1875
5	1	0.25
6	1.25	0.3125
7	1.5	0.375
8	1.75	0.4375
9	2	0.5
10	2.25	0.5625
11	2.5	0.625
12	2.75	0.6875
13	3	0.75
14	3.25	0.8125
15	3.5	0.875
16	3.75	0.9375
17	4	1
18	0	0.25
19	0.25	0.3046875
20	0.5	0.359375
21	0.75	0.4140625
22	1	0.46875
23	1.25	0.5234375
24	1.5	0.578125
25	1.75	0.6328125
26	2	0.6875
27	2.25	0.7421875
28	2.5	0.796875
29	2.75	0.8515625
30	3	0.90625
31	3.25	0.9609375
32	3.5	1.015625
33	3.75	1.0703125
34	4	1.125
35	0	0.5
36	0.25	0.546875
37	0.5	0.59375
38	0.75	0.640625
39	1	0.6875
40	1.25	0.734375
41	1.5	0.78125
42	1.75	0.828125
43	2	0.875
44	2.25	0.921875
45	2.5	0.96875
46	2.75	1.015625
47	3	1.0625
48	3.25	1.109375
49	3.5	1.15625
50	3.75	1.203125
51	4	1.25
52	0	0.75
53	0.25	0.7890625
54	0.5	0.828125
55	0.75	0.8671875
56	1	0.90625
57	1.25	0.9453125
58	1.5	0.984375
59	1.75	1.0234375
60	2	1.0625
61	2.25	1.1015625
62	2.5	1.140625
63	2.75	1.1796875
64	3	1.21875
65	3.25	1.2578125
66	3.5	1.296875
67	3.75	1.3359375
68	4	1.375
69	0	1
70	0.25	1.03125
71	0.5	1.0625
72	0.75	1.09375
73	1	1.125
74	1.25	1.15625
75	1.5	1.1875
76	1.75	1.21875
77	2	1.25
78	2.25	1.28125
79	2.5	1.3125
80	2.75	1.34375
81	3	1.375
82	3.25	1.40625
83	3.5	1.4375
84	3.75	1.46875
85	4	1.5
86	0	1.25
87	0.25	1.2734375
88	0.5	1.296875
89	0.75	1.3203125
90	1	1.34375
91	1.25	1.3671875
92	1.5	1.390625
93	1.75	1.4140625
94	2	1.4375
95	2.25	1.4609375
96	2.5	1.484375
97	2.75	1.5078125
98	3	1.53125
99	3.25	1.5546875
100	3.5	1.578125
101	3.75	1.6015625
102	4	1.625
103	0	1.5
104	0.25	1.515625
105	0.5	1.53125
106	0.75	1.546875
107	1	1.5625
108	1.25	1.578125
109	1.5	1.59375
110	1.75	1.609375
111	2	1.625
112	2.25	1.640625
113	2.5	1.65625
114	2.75	1.671875
115	3	1.6875
116	3.25	1.703125
117	3.5	1.71875
118	3.75	1.734375
119	4	1.75
120	0	1.75
121	0.25	1.7578125
122	0.5	1.765625
123	0.75	1.7734375
124	1	1.78125
125	1.25	1.7890625
126	1.5	1.796875
127	1.75	1.8046875
128	2	1.8125
129	2.25	1.8203125
130	2.5	1.828125
131	2.75	1.8359375
132	3	1.84375
133	3.25	1.8515625
134	3.5	1.859375
135	3.75	1.8671875
136	4	1.875
137	0	2
138	0.25	2
139	0.5	2
140	0.75	2
141	1	2
142	1.25	2
143	1.5	2
144	1.75	2
145	2	2
146	2.25	2
147	2.5	2
148	2.75	2
149	3	2
150	3.25	2
151	3.5	2
152	3.75	2
153	4	2
