Node Displacements:
Node	Displacement_x	Displacement_y
1	0.000000	0.000000
2	-0.012951	-0.009617
3	-0.023246	-0.025465
4	-0.031283	-0.047256
5	-0.037039	-0.073609
6	-0.040579	-0.103149
7	-0.042914	-0.136630
8	0.000000	0.000000
9	-0.003593	-0.007653
10	-0.007135	-0.023701
11	-0.009918	-0.045857
12	-0.011900	-0.072610
13	-0.013003	-0.102328
14	-0.013250	-0.133014
15	0.000000	0.000000
16	0.003804	-0.007600
17	0.007091	-0.023419
18	0.009628	-0.045542
19	0.011382	-0.072313
20	0.012304	-0.102210
21	0.013033	-0.132737
22	0.000000	0.000000
23	0.012379	-0.009015
24	0.022829	-0.024650
25	0.030944	-0.046413
26	0.036751	-0.072836
27	0.040312	-0.102557
28	0.041261	-0.135524

Element Stresses:
Element	Stress
1	-2232827.455888
2	-643805.269878
3	-1765929.550656
4	-546788.484024
5	-1377466.167521
6	-419698.281036
7	-986706.950215
8	-292384.353539
9	-597556.274565
10	-153018.280737
11	-256537.987728
12	-7499.448612
13	-641438.613928
14	681613.194051
15	-622131.583632
16	591527.621533
17	-484629.743845
18	467212.996166
19	-341780.612498
20	328433.642341
21	-192455.191660
22	178592.245819
23	-31872.821258
24	135766.444740
25	618217.802788
26	2218240.342855
27	533998.095682
28	1809323.901097
29	415564.165166
30	1399017.031070
31	290903.430572
32	1001534.843339
33	149706.837699
34	614730.663444
35	5639.195606
36	154504.617251
