-------------------------------------------------------- 
 
 ********** 分析结果 **********
------------------------------------------------------ 
                    节点位移 
Node      disp_x          disp_y 
 1,     0.00000e+00,     0.00000e+00
 2,     0.00000e+00,     0.00000e+00
 3,     0.00000e+00,     0.00000e+00
 4,     -4.37052e-03,     -4.10562e-03
 5,     -2.66514e-05,     -3.52499e-03
 6,     5.28248e-03,     -4.30120e-03
 7,     -8.00186e-03,     -1.33755e-02
 8,     7.22316e-04,     -1.30126e-02
 9,     1.01809e-02,     -1.37485e-02
 10,     -1.02021e-02,     -2.85311e-02
 11,     1.96049e-03,     -2.83020e-02
 12,     1.46663e-02,     -2.89418e-02
 13,     -1.07700e-02,     -4.93878e-02
 14,     3.67700e-03,     -4.93058e-02
 15,     1.84750e-02,     -4.98276e-02
 16,     -9.41630e-03,     -7.53460e-02
 17,     5.82063e-03,     -7.54287e-02
 18,     2.12206e-02,     -7.58157e-02
 19,     -5.83684e-03,     -1.04776e-01
 20,     8.30040e-03,     -1.05150e-01
 21,     2.27957e-02,     -1.06177e-01

------------------------------------------------------ 
                    单元应力 
element    sigma_(xx)         sigma_(yy)         tau_(xy)
 1,      -9.6055e+01,       -2.8817e+01,       -3.1582e+01
 2,      -5.0885e+00,       1.1142e+01,       8.9307e+00
 3,      -5.8574e-01,       -1.7572e-01,       -2.7115e+01
 4,      1.1052e+02,       1.6219e+01,       1.1466e+01
 5,      -9.2991e+01,       -1.5229e+01,       -3.5667e+01
 6,      1.5832e-01,       8.7577e+00,       7.2702e+00
 7,      2.7002e-01,       -1.6855e+01,       -2.7887e+01
 8,      1.0184e+02,       1.2888e+01,       1.4638e+01
 9,      -8.3834e+01,       -1.6440e+01,       -3.6609e+01
 10,      -4.7410e-01,       5.9686e+00,       6.9382e+00
 11,      6.0168e-01,       -1.7482e+01,       -2.9735e+01
 12,      9.2955e+01,       1.0824e+01,       1.3444e+01
 13,      -6.9869e+01,       -1.4850e+01,       -3.6083e+01
 14,      -1.1532e+00,       2.1136e+00,       5.0496e+00
 15,      1.0729e+00,       -1.6741e+01,       -3.0705e+01
 16,      7.8549e+01,       7.9119e+00,       1.0087e+01
 17,      -4.8816e+01,       -1.2185e+01,       -3.3139e+01
 18,      -1.6620e+00,       -3.3347e+00,       7.2473e-02
 19,      1.2985e+00,       -1.5263e+01,       -2.9697e+01
 20,      5.5968e+01,       3.5224e+00,       3.1684e+00
 21,      -1.7945e+01,       -8.2195e+00,       -2.5278e+01
 22,      -2.2187e+00,       -1.5633e+01,       -1.0653e+01
 23,      1.7749e+00,       -1.2735e+01,       -2.5127e+01
 24,      2.1084e+01,       -3.4729e+01,       -1.0542e+01
------------------------------------------------------ 
                     单元应变 
element    epsilon_(xx)       epsilon_(yy)         gamma_(xy)
 1,      -4.3705e-04,       0.0000e+00,       -4.1056e-04
 2,      -4.2155e-05,       6.3341e-05,       1.1610e-04
 3,      -2.6651e-06,       0.0000e+00,       -3.5250e-04
 4,      5.2825e-04,       -8.4678e-05,       1.4906e-04
 5,      -4.4211e-04,       6.3341e-05,       -4.6367e-04
 6,      -1.2345e-05,       4.3551e-05,       9.4512e-05
 7,      2.6632e-05,       -8.4678e-05,       -3.6252e-04
 8,      4.8984e-04,       -8.8311e-05,       1.9030e-04
 9,      -3.9451e-04,       4.3551e-05,       -4.7592e-04
 10,      -1.1323e-05,       3.0554e-05,       9.0196e-05
 11,      2.9231e-05,       -8.8311e-05,       -3.8655e-04
 12,      4.4854e-04,       -8.5314e-05,       1.7477e-04
 13,      -3.2707e-04,       3.0554e-05,       -4.6908e-04
 14,      -8.9363e-06,       1.2298e-05,       6.5644e-05
 15,      3.0476e-05,       -8.5314e-05,       -3.9917e-04
 16,      3.8087e-04,       -7.8263e-05,       1.3113e-04
 17,      -2.2580e-04,       1.2298e-05,       -4.3081e-04
 18,      -3.3078e-06,       -1.4180e-05,       9.4215e-07
 19,      2.9387e-05,       -7.8263e-05,       -3.8606e-04
 20,      2.7456e-04,       -6.6340e-05,       4.1189e-05
 21,      -7.7395e-05,       -1.4180e-05,       -3.2861e-04
 22,      1.2357e-05,       -7.4838e-05,       -1.3849e-04
 23,      2.7978e-05,       -6.6340e-05,       -3.2665e-04
 24,      1.5751e-04,       -2.0527e-04,       -1.3704e-04
