
 Node          U1          U2          U3
    1   2.952e-03  -1.174e-02  -1.504e-03
    2   1.342e-02  -8.404e-02   7.758e-04
    3   1.342e-02  -8.404e-02  -7.758e-04
    4   2.952e-03  -1.174e-02   1.504e-03
    5  -1.956e-02  -8.061e-02   2.970e-04
    6  -1.956e-02  -8.061e-02  -2.970e-04
    7  -1.024e-02  -1.271e-02  -1.574e-03
    8  -1.024e-02  -1.271e-02   1.574e-03
    9   1.407e-11  -4.400e-12  -5.290e-12
   10   5.338e-03  -1.092e-02  -2.412e-04
   11   5.338e-03  -1.092e-02   2.412e-04
   12   1.407e-11  -4.400e-12   5.290e-12
   13  -1.387e-11  -4.295e-12  -5.249e-12
   14  -1.387e-11  -4.295e-12   5.249e-12
   15   4.951e-03  -1.608e-02  -1.830e-03
   16   6.536e-03  -2.113e-02  -1.686e-03
   17   7.915e-03  -2.694e-02  -1.528e-03
   18   9.133e-03  -3.340e-02  -1.342e-03
   19   1.018e-02  -4.045e-02  -1.143e-03
   20   1.103e-02  -4.798e-02  -9.342e-04
   21   1.171e-02  -5.589e-02  -7.183e-04
   22   1.226e-02  -6.415e-02  -4.902e-04
   23   1.277e-02  -7.265e-02  -1.013e-04
   24   1.336e-02  -8.250e-02   2.620e-04
   25   1.327e-02  -8.253e-02   5.359e-05
   26   1.324e-02  -8.252e-02  -3.107e-07
   27   1.323e-02  -8.253e-02  -5.283e-16
   28   1.324e-02  -8.252e-02   3.107e-07
   29   1.327e-02  -8.253e-02  -5.359e-05
   30   1.336e-02  -8.250e-02  -2.620e-04
   31   1.277e-02  -7.265e-02   1.013e-04
   32   1.226e-02  -6.415e-02   4.902e-04
   33   1.171e-02  -5.589e-02   7.183e-04
   34   1.103e-02  -4.798e-02   9.342e-04
   35   1.018e-02  -4.045e-02   1.143e-03
   36   9.133e-03  -3.340e-02   1.342e-03
   37   7.915e-03  -2.694e-02   1.528e-03
   38   6.536e-03  -2.113e-02   1.686e-03
   39   4.951e-03  -1.608e-02   1.830e-03
   40   2.663e-03  -1.207e-02   9.425e-04
   41   2.607e-03  -1.233e-02   5.447e-04
   42   2.588e-03  -1.248e-02   2.525e-04
   43   2.584e-03  -1.253e-02  -1.370e-16
   44   2.588e-03  -1.248e-02  -2.525e-04
   45   2.607e-03  -1.233e-02  -5.447e-04
   46   2.663e-03  -1.207e-02  -9.425e-04
   47  -1.952e-02  -7.251e-02   3.377e-04
   48  -1.932e-02  -6.424e-02   4.649e-04
   49  -1.888e-02  -5.601e-02   6.608e-04
   50  -1.820e-02  -4.804e-02   8.781e-04
   51  -1.732e-02  -4.047e-02   1.089e-03
   52  -1.623e-02  -3.341e-02   1.282e-03
   53  -1.496e-02  -2.698e-02   1.443e-03
   54  -1.349e-02  -2.131e-02   1.555e-03
   55  -1.188e-02  -1.653e-02   1.600e-03
   56  -1.956e-02  -8.068e-02  -2.729e-04
   57  -1.953e-02  -8.075e-02  -2.139e-04
   58  -1.949e-02  -8.079e-02  -1.161e-04
   59  -1.948e-02  -8.081e-02  -4.318e-16
   60  -1.949e-02  -8.079e-02   1.161e-04
   61  -1.953e-02  -8.075e-02   2.139e-04
   62  -1.956e-02  -8.068e-02   2.729e-04
   63  -1.188e-02  -1.653e-02  -1.600e-03
   64  -1.349e-02  -2.131e-02  -1.555e-03
   65  -1.496e-02  -2.698e-02  -1.443e-03
   66  -1.623e-02  -3.341e-02  -1.282e-03
   67  -1.732e-02  -4.047e-02  -1.089e-03
   68  -1.820e-02  -4.804e-02  -8.781e-04
   69  -1.888e-02  -5.601e-02  -6.608e-04
   70  -1.932e-02  -6.424e-02  -4.649e-04
   71  -1.952e-02  -7.251e-02  -3.377e-04
   72  -1.026e-02  -1.333e-02   1.104e-03
   73  -1.032e-02  -1.371e-02   6.862e-04
   74  -1.037e-02  -1.391e-02   3.265e-04
   75  -1.039e-02  -1.397e-02  -5.516e-17
   76  -1.037e-02  -1.391e-02  -3.265e-04
   77  -1.032e-02  -1.371e-02  -6.862e-04
   78  -1.026e-02  -1.333e-02  -1.104e-03
   79  -6.726e-03  -1.231e-02  -7.970e-04
   80  -3.134e-03  -1.205e-02  -2.111e-06
   81   3.338e-04  -1.186e-02   8.218e-04
   82   3.338e-04  -1.186e-02  -8.218e-04
   83  -3.134e-03  -1.205e-02   2.111e-06
   84  -6.726e-03  -1.231e-02   7.970e-04
   85  -1.158e-02  -8.066e-02  -2.704e-04
   86  -3.777e-03  -8.092e-02  -3.175e-04
   87   4.103e-03  -8.177e-02  -3.709e-04
   88   4.103e-03  -8.177e-02   3.709e-04
   89  -3.777e-03  -8.092e-02   3.175e-04
   90  -1.158e-02  -8.066e-02   2.704e-04
   91   1.068e-03  -5.141e-04  -6.391e-04
   92   1.925e-03  -9.799e-04  -7.978e-04
   93   2.715e-03  -1.725e-03  -8.472e-04
   94   3.459e-03  -2.713e-03  -8.091e-04
   95   4.127e-03  -3.932e-03  -7.193e-04
   96   4.681e-03  -5.342e-03  -5.964e-04
   97   5.077e-03  -6.865e-03  -4.632e-04
   98   5.287e-03  -8.377e-03  -3.481e-04
   99   5.341e-03  -9.739e-03  -2.783e-04
  100   5.361e-03  -1.086e-02  -2.434e-04
  101   5.364e-03  -1.087e-02  -2.136e-04
  102   5.366e-03  -1.090e-02  -1.261e-04
  103   5.368e-03  -1.092e-02  -1.493e-16
  104   5.366e-03  -1.090e-02   1.261e-04
  105   5.364e-03  -1.087e-02   2.136e-04
  106   5.361e-03  -1.086e-02   2.434e-04
  107   5.341e-03  -9.739e-03   2.783e-04
  108   5.287e-03  -8.377e-03   3.481e-04
  109   5.077e-03  -6.865e-03   4.632e-04
  110   4.681e-03  -5.342e-03   5.964e-04
  111   4.127e-03  -3.932e-03   7.193e-04
  112   3.459e-03  -2.713e-03   8.091e-04
  113   2.715e-03  -1.725e-03   8.472e-04
  114   1.925e-03  -9.799e-04   7.978e-04
  115   1.068e-03  -5.141e-04   6.391e-04
  116   1.155e-11  -4.363e-12   1.333e-12
  117   1.180e-11  -4.545e-12   8.981e-13
  118   1.210e-11  -4.680e-12   4.060e-13
  119   1.219e-11  -4.721e-12  -2.173e-26
  120   1.210e-11  -4.680e-12  -4.060e-13
  121   1.180e-11  -4.545e-12  -8.981e-13
  122   1.155e-11  -4.363e-12  -1.333e-12
  123  -8.690e-03  -9.794e-03   1.487e-03
  124  -7.341e-03  -7.606e-03   1.367e-03
  125  -6.205e-03  -5.905e-03   1.247e-03
  126  -5.234e-03  -4.513e-03   1.148e-03
  127  -4.362e-03  -3.330e-03   1.075e-03
  128  -3.536e-03  -2.324e-03   1.020e-03
  129  -2.724e-03  -1.501e-03   9.582e-04
  130  -1.911e-03  -8.710e-04   8.444e-04
  131  -1.054e-03  -4.780e-04   6.466e-04
  132  -1.054e-03  -4.780e-04  -6.466e-04
  133  -1.911e-03  -8.710e-04  -8.444e-04
  134  -2.724e-03  -1.501e-03  -9.582e-04
  135  -3.536e-03  -2.324e-03  -1.020e-03
  136  -4.362e-03  -3.330e-03  -1.075e-03
